Character;Sentence;Sentence_tokenized;Sentence_lemmatized;Sentence_cleared
Harry;Ron, this is it.;['ron', 'this', 'is', 'it'];['ron', 'this', 'is', 'it'];['ron']
Harry;The monster in the Chamber of Secrets is a basilisk.;['the', 'monster', 'in', 'the', 'chamber', 'of', 'secrets', 'is', 'a', 'basilisk'];['the', 'monster', 'in', 'the', 'chamber', 'of', 'secret', 'is', 'a', 'basilisk'];['monster', 'chamber', 'secret', 'basilisk']
Harry;That's why I can hear it speak.;['that', 'why', 'i', 'can', 'hear', 'it', 'speak'];['that', 'why', 'i', 'can', 'hear', 'it', 'speak'];['hear', 'speak']
Harry;It's a snake.;['it', 'a', 'snake'];['it', 'a', 'snake'];['snake']
Ron;But if it kills by looking people in the eye, why is it no one's dead?;['but', 'if', 'it', 'kills', 'by', 'looking', 'people', 'in', 'the', 'eye', 'why', 'is', 'it', 'no', 'one', 'dead'];['but', 'if', 'it', 'kill', 'by', 'looking', 'people', 'in', 'the', 'eye', 'why', 'is', 'it', 'no', 'one', 'dead'];['kill', 'looking', 'people', 'eye', 'one', 'dead']
Harry;Because no one did look it in the eye.;['because', 'no', 'one', 'did', 'look', 'it', 'in', 'the', 'eye'];['because', 'no', 'one', 'did', 'look', 'it', 'in', 'the', 'eye'];['one', 'look', 'eye']
Harry;Not directly, at least.;['not', 'directly', 'at', 'least'];['not', 'directly', 'at', 'least'];['directly', 'least']
Harry;Colin saw it through his camera.;['colin', 'saw', 'it', 'through', 'his', 'camera'];['colin', 'saw', 'it', 'through', 'his', 'camera'];['colin', 'saw', 'camera']
Harry;Justin... Justin must have seen the basilisk through Nearly Headless Nick.;['justin', 'justin', 'must', 'have', 'seen', 'the', 'basilisk', 'through', 'nearly', 'headless', 'nick'];['justin', 'justin', 'must', 'have', 'seen', 'the', 'basilisk', 'through', 'nearly', 'headless', 'nick'];['justin', 'justin', 'must', 'seen', 'basilisk', 'nearly', 'headless', 'nick']
Harry;Nick got the full blast of it.;['nick', 'got', 'the', 'full', 'blast', 'of', 'it'];['nick', 'got', 'the', 'full', 'blast', 'of', 'it'];['nick', 'full', 'blast']
Harry;But he's a ghost, he couldn't die again.;['but', 'he', 'a', 'ghost', 'he', 'could', 'die', 'again'];['but', 'he', 'a', 'ghost', 'he', 'could', 'die', 'again'];['ghost', 'could', 'die']
Harry;And Hermione had the mirror.;['and', 'hermione', 'had', 'the', 'mirror'];['and', 'hermione', 'had', 'the', 'mirror'];['hermione', 'mirror']
Harry;I bet you she was using it to look around corners in case it came along.;['i', 'bet', 'you', 'she', 'was', 'using', 'it', 'to', 'look', 'around', 'corners', 'in', 'case', 'it', 'came', 'along'];['i', 'bet', 'you', 'she', 'wa', 'using', 'it', 'to', 'look', 'around', 'corner', 'in', 'case', 'it', 'came', 'along'];['bet', 'using', 'look', 'around', 'corner', 'case', 'came', 'along']
Ron;And Mrs. Norris?;['and', 'norris'];['and', 'norris'];['norris']
Ron;I'm pretty sure she didn't havea camera or a mirror, Harry.;['i', 'pretty', 'sure', 'she', 'did', 'havea', 'camera', 'or', 'a', 'mirror', 'harry'];['i', 'pretty', 'sure', 'she', 'did', 'havea', 'camera', 'or', 'a', 'mirror', 'harry'];['pretty', 'sure', 'havea', 'camera', 'mirror', 'harry']
Harry;The water.;['the', 'water'];['the', 'water'];['water']
Harry;There was water on the floor that night.;['there', 'was', 'water', 'on', 'the', 'floor', 'that', 'night'];['there', 'wa', 'water', 'on', 'the', 'floor', 'that', 'night'];['water', 'floor', 'night']
Harry;She only saw the basilisk's reflection.;['she', 'only', 'saw', 'the', 'basilisk', 'reflection'];['she', 'only', 'saw', 'the', 'basilisk', 'reflection'];['saw', 'basilisk', 'reflection']
Harry;Spiders flee before it.;['spiders', 'flee', 'before', 'it'];['spider', 'flee', 'before', 'it'];['spider', 'flee']
Harry;It all fits.;['it', 'all', 'fits'];['it', 'all', 'fit'];['fit']
Ron;How's a basilisk been getting around?;['how', 'a', 'basilisk', 'been', 'getting', 'around'];['how', 'a', 'basilisk', 'been', 'getting', 'around'];['basilisk', 'getting', 'around']
Ron;A dirty, great snake.;['a', 'dirty', 'great', 'snake'];['a', 'dirty', 'great', 'snake'];['dirty', 'great', 'snake']
Ron;Someone would have seen it.;['someone', 'would', 'have', 'seen', 'it'];['someone', 'would', 'have', 'seen', 'it'];['someone', 'would', 'seen']
Harry;Hermione's answered that too.;['hermione', 'answered', 'that', 'too'];['hermione', 'answered', 'that', 'too'];['hermione', 'answered']
Ron;Pipes? It's using the plumbing.;['pipes', 'it', 'using', 'the', 'plumbing'];['pipe', 'it', 'using', 'the', 'plumbing'];['pipe', 'using', 'plumbing']
Harry;Remember what Aragog said about that girl 50 years ago?;['remember', 'what', 'aragog', 'said', 'about', 'that', 'girl', 'years', 'ago'];['remember', 'what', 'aragog', 'said', 'about', 'that', 'girl', 'year', 'ago'];['remember', 'aragog', 'said', 'girl', 'year', 'ago']
Harry;She died in a bathroom?;['she', 'died', 'in', 'a', 'bathroom'];['she', 'died', 'in', 'a', 'bathroom'];['died', 'bathroom']
Harry;What if she never left?;['what', 'if', 'she', 'never', 'left'];['what', 'if', 'she', 'never', 'left'];['never', 'left']
Ron;Moaning Myrtle.;['moaning', 'myrtle'];['moaning', 'myrtle'];['moaning', 'myrtle']
Mcgonagall;All students are to return to their house dormitories at once.;['all', 'students', 'are', 'to', 'return', 'to', 'their', 'house', 'dormitories', 'at', 'once'];['all', 'student', 'are', 'to', 'return', 'to', 'their', 'house', 'dormitory', 'at', 'once'];['student', 'return', 'house', 'dormitory']
Mcgonagall;All teachers to the second-floor corridor immediately.;['all', 'teachers', 'to', 'the', 'corridor', 'immediately'];['all', 'teacher', 'to', 'the', 'corridor', 'immediately'];['teacher', 'corridor', 'immediately']
Mcgonagall;As you can see, the Heir of Slytherin has left another message.;['as', 'you', 'can', 'see', 'the', 'heir', 'of', 'slytherin', 'has', 'left', 'another', 'message'];['a', 'you', 'can', 'see', 'the', 'heir', 'of', 'slytherin', 'ha', 'left', 'another', 'message'];['heir', 'slytherin', 'left', 'another', 'message']
Mcgonagall;Our worst fear has been realized.;['our', 'worst', 'fear', 'has', 'been', 'realized'];['our', 'worst', 'fear', 'ha', 'been', 'realized'];['worst', 'fear', 'realized']
Mcgonagall;A student has been taken by the monster into the Chamber itself.;['a', 'student', 'has', 'been', 'taken', 'by', 'the', 'monster', 'into', 'the', 'chamber', 'itself'];['a', 'student', 'ha', 'been', 'taken', 'by', 'the', 'monster', 'into', 'the', 'chamber', 'itself'];['student', 'taken', 'monster', 'chamber']
Mcgonagall;The students must be sent home.;['the', 'students', 'must', 'be', 'sent', 'home'];['the', 'student', 'must', 'be', 'sent', 'home'];['student', 'must', 'sent', 'home']
Mcgonagall;I'm afraid this is the end of Hogwarts.;['i', 'afraid', 'this', 'is', 'the', 'end', 'of', 'hogwarts'];['i', 'afraid', 'this', 'is', 'the', 'end', 'of', 'hogwarts'];['afraid', 'end', 'hogwarts']
Gilderoy Lockhart;So sorry. Dozed off.;['so', 'sorry', 'dozed', 'off'];['so', 'sorry', 'dozed', 'off'];['sorry', 'dozed']
Gilderoy Lockhart;What have I missed?;['what', 'have', 'i', 'missed'];['what', 'have', 'i', 'missed'];['missed']
Snape;A girl has been snatched by the monster, Lockhart. ;['a', 'girl', 'has', 'been', 'snatched', 'by', 'the', 'monster', 'lockhart'];['a', 'girl', 'ha', 'been', 'snatched', 'by', 'the', 'monster', 'lockhart'];['girl', 'snatched', 'monster', 'lockhart']
Snape;Your moment has come at last.;['your', 'moment', 'has', 'come', 'at', 'last'];['your', 'moment', 'ha', 'come', 'at', 'last'];['moment', 'last']
Gilderoy Lockhart;My moment?;['my', 'moment'];['my', 'moment'];['moment']
Snape;Weren't you saying just last night that you've known all along where the entrance to the Chamber of Secrets is?;['were', 'you', 'saying', 'just', 'last', 'night', 'that', 'you', 'known', 'all', 'along', 'where', 'the', 'entrance', 'to', 'the', 'chamber', 'of', 'secrets', 'is'];['were', 'you', 'saying', 'just', 'last', 'night', 'that', 'you', 'known', 'all', 'along', 'where', 'the', 'entrance', 'to', 'the', 'chamber', 'of', 'secret', 'is'];['saying', 'last', 'night', 'known', 'along', 'entrance', 'chamber', 'secret']
Mcgonagall;That's settled. ;['that', 'settled'];['that', 'settled'];['settled']
Mcgonagall;We'll leave you to deal with the monster, Gilderoy.;['we', 'leave', 'you', 'to', 'deal', 'with', 'the', 'monster', 'gilderoy'];['we', 'leave', 'you', 'to', 'deal', 'with', 'the', 'monster', 'gilderoy'];['leave', 'deal', 'monster', 'gilderoy']
Mcgonagall;Your skills, after all, are legend.;['your', 'skills', 'after', 'all', 'are', 'legend'];['your', 'skill', 'after', 'all', 'are', 'legend'];['skill', 'legend']
Gilderoy Lockhart;Very well.;['very', 'well'];['very', 'well'];['well']
Gilderoy Lockhart;I'll just be in my office getting...;['i', 'just', 'be', 'in', 'my', 'office', 'getting'];['i', 'just', 'be', 'in', 'my', 'office', 'getting'];['office', 'getting']
Gilderoy Lockhart;Getting ready.;['getting', 'ready'];['getting', 'ready'];['getting', 'ready']
Madam Pomfrey;Who is it that the monster's taken, Minerva?;['who', 'is', 'it', 'that', 'the', 'monster', 'taken', 'minerva'];['who', 'is', 'it', 'that', 'the', 'monster', 'taken', 'minerva'];['monster', 'taken', 'minerva']
Mcgonagall;Ginny Weasley.;['ginny', 'weasley'];['ginny', 'weasley'];['ginny', 'weasley']
Ron;Her skeleton will lie in the Chamber forever.;['her', 'skeleton', 'will', 'lie', 'in', 'the', 'chamber', 'forever'];['her', 'skeleton', 'will', 'lie', 'in', 'the', 'chamber', 'forever'];['skeleton', 'lie', 'chamber', 'forever']
Ron;Ginny.;['ginny'];['ginny'];['ginny']
Harry;Lockhart may be useless, but he's going to try and get into the Chamber.;['lockhart', 'may', 'be', 'useless', 'but', 'he', 'going', 'to', 'try', 'and', 'get', 'into', 'the', 'chamber'];['lockhart', 'may', 'be', 'useless', 'but', 'he', 'going', 'to', 'try', 'and', 'get', 'into', 'the', 'chamber'];['lockhart', 'may', 'useless', 'going', 'try', 'chamber']
Harry;At least we can tell him what we know.;['at', 'least', 'we', 'can', 'tell', 'him', 'what', 'we', 'know'];['at', 'least', 'we', 'can', 'tell', 'him', 'what', 'we', 'know'];['least', 'tell']
Harry;Professor, we have some information for you.;['professor', 'we', 'have', 'some', 'information', 'for', 'you'];['professor', 'we', 'have', 'some', 'information', 'for', 'you'];['professor', 'information']
Harry;Are you going somewhere?;['are', 'you', 'going', 'somewhere'];['are', 'you', 'going', 'somewhere'];['going', 'somewhere']
Gilderoy Lockhart;Well, yes. Urgent call. Unavoidable.;['well', 'yes', 'urgent', 'call', 'unavoidable'];['well', 'yes', 'urgent', 'call', 'unavoidable'];['well', 'urgent', 'call', 'unavoidable']
Gilderoy Lockhart;Got to go.;['got', 'to', 'go'];['got', 'to', 'go'];[]
Ron;What about my sister?;['what', 'about', 'my', 'sister'];['what', 'about', 'my', 'sister'];['sister']
Gilderoy Lockhart;Well... Aemm...;['well', 'aemm'];['well', 'aemm'];['well', 'aemm']
Gilderoy Lockhart;As to that, most unfortunate.;['as', 'to', 'that', 'most', 'unfortunate'];['a', 'to', 'that', 'most', 'unfortunate'];['unfortunate']
Gilderoy Lockhart;No one regrets more than I.;['no', 'one', 'regrets', 'more', 'than', 'i'];['no', 'one', 'regret', 'more', 'than', 'i'];['one', 'regret']
Ron;You're the Defense Against the Dark Arts teacher. ;['you', 'the', 'defense', 'against', 'the', 'dark', 'arts', 'teacher'];['you', 'the', 'defense', 'against', 'the', 'dark', 'art', 'teacher'];['defense', 'dark', 'art', 'teacher']
Ron;You can't go now.;['you', 'ca', 'go', 'now'];['you', 'ca', 'go', 'now'];['ca']
Gilderoy Lockhart;I must say, when I took the job, there was nothing in the description...;['i', 'must', 'say', 'when', 'i', 'took', 'the', 'job', 'there', 'was', 'nothing', 'in', 'the', 'description'];['i', 'must', 'say', 'when', 'i', 'took', 'the', 'job', 'there', 'wa', 'nothing', 'in', 'the', 'description'];['must', 'say', 'took', 'job', 'nothing', 'description']
Harry;You're running away?;['you', 'running', 'away'];['you', 'running', 'away'];['running', 'away']
Harry;After all you did in your books?;['after', 'all', 'you', 'did', 'in', 'your', 'books'];['after', 'all', 'you', 'did', 'in', 'your', 'book'];['book']
Gilderoy Lockhart;Books can be misleading.;['books', 'can', 'be', 'misleading'];['book', 'can', 'be', 'misleading'];['book', 'misleading']
Harry;You wrote them.;['you', 'wrote', 'them'];['you', 'wrote', 'them'];['wrote']
Gilderoy Lockhart;My dear boy, use your common sense.;['my', 'dear', 'boy', 'use', 'your', 'common', 'sense'];['my', 'dear', 'boy', 'use', 'your', 'common', 'sense'];['dear', 'boy', 'use', 'common', 'sense']
Gilderoy Lockhart;My books wouldn't have sold as well if people didn't think I'd done those things.;['my', 'books', 'would', 'have', 'sold', 'as', 'well', 'if', 'people', 'did', 'think', 'i', 'done', 'those', 'things'];['my', 'book', 'would', 'have', 'sold', 'a', 'well', 'if', 'people', 'did', 'think', 'i', 'done', 'those', 'thing'];['book', 'would', 'sold', 'well', 'people', 'think', 'done', 'thing']
Harry;You're a fraud.;['you', 'a', 'fraud'];['you', 'a', 'fraud'];['fraud']
Harry;You've been taking credit for what other wizards have done.;['you', 'been', 'taking', 'credit', 'for', 'what', 'other', 'wizards', 'have', 'done'];['you', 'been', 'taking', 'credit', 'for', 'what', 'other', 'wizard', 'have', 'done'];['taking', 'credit', 'wizard', 'done']
Ron;Is there anything you can do?;['is', 'there', 'anything', 'you', 'can', 'do'];['is', 'there', 'anything', 'you', 'can', 'do'];['anything']
Gilderoy Lockhart;Yes, now you mention it.;['yes', 'now', 'you', 'mention', 'it'];['yes', 'now', 'you', 'mention', 'it'];['mention']
Gilderoy Lockhart;I'm rather gifted with Memory Charms.;['i', 'rather', 'gifted', 'with', 'memory', 'charms'];['i', 'rather', 'gifted', 'with', 'memory', 'charm'];['rather', 'gifted', 'memory', 'charm']
Gilderoy Lockhart;Otherwise, all those wizards would have gone blabbing.;['otherwise', 'all', 'those', 'wizards', 'would', 'have', 'gone', 'blabbing'];['otherwise', 'all', 'those', 'wizard', 'would', 'have', 'gone', 'blabbing'];['otherwise', 'wizard', 'would', 'gone', 'blabbing']
Gilderoy Lockhart;I'd never have sold another book.;['i', 'never', 'have', 'sold', 'another', 'book'];['i', 'never', 'have', 'sold', 'another', 'book'];['never', 'sold', 'another', 'book']
Gilderoy Lockhart;In fact, I'm going to have to do the same to you.;['in', 'fact', 'i', 'going', 'to', 'have', 'to', 'do', 'the', 'same', 'to', 'you'];['in', 'fact', 'i', 'going', 'to', 'have', 'to', 'do', 'the', 'same', 'to', 'you'];['fact', 'going']
Harry;Don't even think about it.;['do', 'even', 'think', 'about', 'it'];['do', 'even', 'think', 'about', 'it'];['even', 'think']
Moaning Myrtle;Who's there?;['who', 'there'];['who', 'there'];[]
Moaning Myrtle;Hello, Harry.;['hello', 'harry'];['hello', 'harry'];['hello', 'harry']
Moaning Myrtle;What do you want?;['what', 'do', 'you', 'want'];['what', 'do', 'you', 'want'];['want']
Harry;To ask you how you died.;['to', 'ask', 'you', 'how', 'you', 'died'];['to', 'ask', 'you', 'how', 'you', 'died'];['ask', 'died']
Moaning Myrtle;It was dreadful.;['it', 'was', 'dreadful'];['it', 'wa', 'dreadful'];['dreadful']
Moaning Myrtle;It happened right here in this very cubicle.;['it', 'happened', 'right', 'here', 'in', 'this', 'very', 'cubicle'];['it', 'happened', 'right', 'here', 'in', 'this', 'very', 'cubicle'];['happened', 'right', 'cubicle']
Moaning Myrtle;I'd hidden because Olive Hornby was teasing me about my glasses.;['i', 'hidden', 'because', 'olive', 'hornby', 'was', 'teasing', 'me', 'about', 'my', 'glasses'];['i', 'hidden', 'because', 'olive', 'hornby', 'wa', 'teasing', 'me', 'about', 'my', 'glass'];['hidden', 'olive', 'hornby', 'teasing', 'glass']
Moaning Myrtle;I was crying, and then I heard somebody come in.;['i', 'was', 'crying', 'and', 'then', 'i', 'heard', 'somebody', 'come', 'in'];['i', 'wa', 'cry', 'and', 'then', 'i', 'heard', 'somebody', 'come', 'in'];['cry', 'heard', 'somebody']
Harry;Who was it, Myrtle?;['who', 'was', 'it', 'myrtle'];['who', 'wa', 'it', 'myrtle'];['myrtle']
Moaning Myrtle;I don't know. I was distraught!;['i', 'do', 'know', 'i', 'was', 'distraught'];['i', 'do', 'know', 'i', 'wa', 'distraught'];['distraught']
Moaning Myrtle;But they said something funny, a kind of made-up language.;['but', 'they', 'said', 'something', 'funny', 'a', 'kind', 'of', 'language'];['but', 'they', 'said', 'something', 'funny', 'a', 'kind', 'of', 'language'];['said', 'something', 'funny', 'kind', 'language']
Moaning Myrtle;And I realized it was a boy, so I unlocked the door to tell him to go away and I died.;['and', 'i', 'realized', 'it', 'was', 'a', 'boy', 'so', 'i', 'unlocked', 'the', 'door', 'to', 'tell', 'him', 'to', 'go', 'away', 'and', 'i', 'died'];['and', 'i', 'realized', 'it', 'wa', 'a', 'boy', 'so', 'i', 'unlocked', 'the', 'door', 'to', 'tell', 'him', 'to', 'go', 'away', 'and', 'i', 'died'];['realized', 'boy', 'unlocked', 'door', 'tell', 'away', 'died']
Harry;Just like that? How?;['just', 'like', 'that', 'how'];['just', 'like', 'that', 'how'];['like']
Moaning Myrtle;I just remember seeing a pair of great, big, yellow eyes over there by that sink.;['i', 'just', 'remember', 'seeing', 'a', 'pair', 'of', 'great', 'big', 'yellow', 'eyes', 'over', 'there', 'by', 'that', 'sink'];['i', 'just', 'remember', 'seeing', 'a', 'pair', 'of', 'great', 'big', 'yellow', 'eye', 'over', 'there', 'by', 'that', 'sink'];['remember', 'seeing', 'pair', 'great', 'big', 'yellow', 'eye', 'sink']
Harry;This is it.;['this', 'is', 'it'];['this', 'is', 'it'];[]
Harry;This is it, Ron. I think this is the entrance to the Chamber of Secrets.;['this', 'is', 'it', 'ron', 'i', 'think', 'this', 'is', 'the', 'entrance', 'to', 'the', 'chamber', 'of', 'secrets'];['this', 'is', 'it', 'ron', 'i', 'think', 'this', 'is', 'the', 'entrance', 'to', 'the', 'chamber', 'of', 'secret'];['ron', 'think', 'entrance', 'chamber', 'secret']
Ron;Say something. ;['say', 'something'];['say', 'something'];['say', 'something']
Ron;Harry say something in Parseltongue!;['harry', 'say', 'something', 'in', 'parseltongue'];['harry', 'say', 'something', 'in', 'parseltongue'];['harry', 'say', 'something', 'parseltongue']
Gilderoy Lockhart;Excellent, Harry. Good work.;['excellent', 'harry', 'good', 'work'];['excellent', 'harry', 'good', 'work'];['excellent', 'harry', 'good', 'work']
Gilderoy Lockhart;Well, then, I'll just be...;['well', 'then', 'i', 'just', 'be'];['well', 'then', 'i', 'just', 'be'];['well']
Gilderoy Lockhart;There's no need for me to stay.;['there', 'no', 'need', 'for', 'me', 'to', 'stay'];['there', 'no', 'need', 'for', 'me', 'to', 'stay'];['need', 'stay']
Harry;Yes, there is.;['yes', 'there', 'is'];['yes', 'there', 'is'];[]
Harry;You first.;['you', 'first'];['you', 'first'];['first']
Gilderoy Lockhart;Now, boys, what good will it do?;['now', 'boys', 'what', 'good', 'will', 'it', 'do'];['now', 'boy', 'what', 'good', 'will', 'it', 'do'];['boy', 'good']
Ron;Better you than us.;['better', 'you', 'than', 'us'];['better', 'you', 'than', 'u'];['better', 'u']
Gilderoy Lockhart;But... Obviously, yes.;['but', 'obviously', 'yes'];['but', 'obviously', 'yes'];['obviously']
Gilderoy Lockhart;Sure you don't want to test it first?;['sure', 'you', 'do', 'want', 'to', 'test', 'it', 'first'];['sure', 'you', 'do', 'want', 'to', 'test', 'it', 'first'];['sure', 'want', 'test', 'first']
Gilderoy Lockhart;It's really quite filthy down here.;['it', 'really', 'quite', 'filthy', 'down', 'here'];['it', 'really', 'quite', 'filthy', 'down', 'here'];['really', 'quite', 'filthy']
Harry;All right. Let's go.;['all', 'right', 'let', 'go'];['all', 'right', 'let', 'go'];['right', 'let']
Moaning Myrtle;Oh, Harry?;['oh', 'harry'];['oh', 'harry'];['oh', 'harry']
Moaning Myrtle;If you die down there, you're welcome to share my toilet.;['if', 'you', 'die', 'down', 'there', 'you', 'welcome', 'to', 'share', 'my', 'toilet'];['if', 'you', 'die', 'down', 'there', 'you', 'welcome', 'to', 'share', 'my', 'toilet'];['die', 'welcome', 'share', 'toilet']
Harry;Thanks, Myrtle.;['thanks', 'myrtle'];['thanks', 'myrtle'];['thanks', 'myrtle']
Harry;Now, remember: Any sign of movement, close your eyes straightaway.;['now', 'remember', 'any', 'sign', 'of', 'movement', 'close', 'your', 'eyes', 'straightaway'];['now', 'remember', 'any', 'sign', 'of', 'movement', 'close', 'your', 'eye', 'straightaway'];['remember', 'sign', 'movement', 'close', 'eye', 'straightaway']
Ron;Go on.;['go', 'on'];['go', 'on'];[]
Harry;This way.;['this', 'way'];['this', 'way'];['way']
Ron;What's this?;['what', 'this'];['what', 'this'];[]
Gilderoy Lockhart;It looks like a snake.;['it', 'looks', 'like', 'a', 'snake'];['it', 'look', 'like', 'a', 'snake'];['look', 'like', 'snake']
Harry;It's a snake skin.;['it', 'a', 'snake', 'skin'];['it', 'a', 'snake', 'skin'];['snake', 'skin']
Ron;Bloody hell.;['bloody', 'hell'];['bloody', 'hell'];['bloody', 'hell']
Ron;Whatever shed this must be 60 feet long. Or more.;['whatever', 'shed', 'this', 'must', 'be', 'feet', 'long', 'or', 'more'];['whatever', 'shed', 'this', 'must', 'be', 'foot', 'long', 'or', 'more'];['whatever', 'shed', 'must', 'foot', 'long']
Ron;Heart of a lion, this one.;['heart', 'of', 'a', 'lion', 'this', 'one'];['heart', 'of', 'a', 'lion', 'this', 'one'];['heart', 'lion', 'one']
Gilderoy Lockhart;The adventure ends here, boys.;['the', 'adventure', 'ends', 'here', 'boys'];['the', 'adventure', 'end', 'here', 'boy'];['adventure', 'end', 'boy']
Gilderoy Lockhart;But don't fret.;['but', 'do', 'fret'];['but', 'do', 'fret'];['fret']
Gilderoy Lockhart;The world will know our story.;['the', 'world', 'will', 'know', 'our', 'story'];['the', 'world', 'will', 'know', 'our', 'story'];['world', 'story']
Gilderoy Lockhart;How I was too late to save the girl.;['how', 'i', 'was', 'too', 'late', 'to', 'save', 'the', 'girl'];['how', 'i', 'wa', 'too', 'late', 'to', 'save', 'the', 'girl'];['late', 'save', 'girl']
Gilderoy Lockhart;How you two tragically lost your minds at the sight of her mangled body.;['how', 'you', 'two', 'tragically', 'lost', 'your', 'minds', 'at', 'the', 'sight', 'of', 'her', 'mangled', 'body'];['how', 'you', 'two', 'tragically', 'lost', 'your', 'mind', 'at', 'the', 'sight', 'of', 'her', 'mangled', 'body'];['two', 'tragically', 'lost', 'mind', 'sight', 'mangled', 'body']
Gilderoy Lockhart;So...You first, Mr. Potter.;['so', 'you', 'first', 'potter'];['so', 'you', 'first', 'potter'];['first', 'potter']
Gilderoy Lockhart;Say goodbye to your memories.;['say', 'goodbye', 'to', 'your', 'memories'];['say', 'goodbye', 'to', 'your', 'memory'];['say', 'goodbye', 'memory']
Gilderoy Lockhart;Obliviate!;['obliviate'];['obliviate'];['obliviate']
Ron;Harry! Harry;['harry', 'harry'];['harry', 'harry'];['harry', 'harry']
Harry;Ron! Ron, are you okay?;['ron', 'ron', 'are', 'you', 'okay'];['ron', 'ron', 'are', 'you', 'okay'];['ron', 'ron', 'okay']
Ron;I'm fine.;['i', 'fine'];['i', 'fine'];['fine']
Gilderoy Lockhart;Hello. Who are you?;['hello', 'who', 'are', 'you'];['hello', 'who', 'are', 'you'];['hello']
Ron;Ron Weasley.;['ron', 'weasley'];['ron', 'weasley'];['ron', 'weasley']
Gilderoy Lockhart;Really?;['really'];['really'];['really']
Gilderoy Lockhart;And who am I?;['and', 'who', 'am', 'i'];['and', 'who', 'am', 'i'];[]
Ron;Lockhart's Memory Charm backfired.;['lockhart', 'memory', 'charm', 'backfired'];['lockhart', 'memory', 'charm', 'backfired'];['lockhart', 'memory', 'charm', 'backfired']
Ron;He hasn't got a clue who he is.;['he', 'has', 'got', 'a', 'clue', 'who', 'he', 'is'];['he', 'ha', 'got', 'a', 'clue', 'who', 'he', 'is'];['clue']
Gilderoy Lockhart;It's an odd sort of place, isn't it?;['it', 'an', 'odd', 'sort', 'of', 'place', 'is', 'it'];['it', 'an', 'odd', 'sort', 'of', 'place', 'is', 'it'];['odd', 'sort', 'place']
Gilderoy Lockhart;Do you live here?;['do', 'you', 'live', 'here'];['do', 'you', 'live', 'here'];['live']
Ron;No.;['no'];['no'];[]
Gilderoy Lockhart;Really?;['really'];['really'];['really']
Ron;What do I do now?;['what', 'do', 'i', 'do', 'now'];['what', 'do', 'i', 'do', 'now'];[]
Harry;You wait here and try and shift some of this rock so we can get back through.;['you', 'wait', 'here', 'and', 'try', 'and', 'shift', 'some', 'of', 'this', 'rock', 'so', 'we', 'can', 'get', 'back', 'through'];['you', 'wait', 'here', 'and', 'try', 'and', 'shift', 'some', 'of', 'this', 'rock', 'so', 'we', 'can', 'get', 'back', 'through'];['wait', 'try', 'shift', 'rock', 'back']
Harry;I'll go on and find Ginny.;['i', 'go', 'on', 'and', 'find', 'ginny'];['i', 'go', 'on', 'and', 'find', 'ginny'];['find', 'ginny']
Ron;Okay.;['okay'];['okay'];['okay']
Harry;Ginny! Ginny, please don't be dead.;['ginny', 'ginny', 'please', 'do', 'be', 'dead'];['ginny', 'ginny', 'please', 'do', 'be', 'dead'];['ginny', 'ginny', 'please', 'dead']
Harry;Wake up, wake up.;['wake', 'up', 'wake', 'up'];['wake', 'up', 'wake', 'up'];['wake', 'wake']
Harry;Please wake up.;['please', 'wake', 'up'];['please', 'wake', 'up'];['please', 'wake']
Tom Riddle;She won't wake.;['she', 'wo', 'wake'];['she', 'wo', 'wake'];['wo', 'wake']
Harry;Tom. Tom Riddle.;['tom', 'tom', 'riddle'];['tom', 'tom', 'riddle'];['tom', 'tom', 'riddle']
Harry;What do you mean, she won't wake?;['what', 'do', 'you', 'mean', 'she', 'wo', 'wake'];['what', 'do', 'you', 'mean', 'she', 'wo', 'wake'];['mean', 'wo', 'wake']
Harry;She's not...?;['she', 'not'];['she', 'not'];[]
Tom Riddle;She's still alive, but only just.;['she', 'still', 'alive', 'but', 'only', 'just'];['she', 'still', 'alive', 'but', 'only', 'just'];['still', 'alive']
Harry;Are you a ghost?;['are', 'you', 'a', 'ghost'];['are', 'you', 'a', 'ghost'];['ghost']
Tom Riddle;A memory preserved in a diary for 50 years.;['a', 'memory', 'preserved', 'in', 'a', 'diary', 'for', 'years'];['a', 'memory', 'preserved', 'in', 'a', 'diary', 'for', 'year'];['memory', 'preserved', 'diary', 'year']
Harry;She's cold as ice.;['she', 'cold', 'as', 'ice'];['she', 'cold', 'a', 'ice'];['cold', 'ice']
Harry;Ginny, please don't be dead. Wake up.;['ginny', 'please', 'do', 'be', 'dead', 'wake', 'up'];['ginny', 'please', 'do', 'be', 'dead', 'wake', 'up'];['ginny', 'please', 'dead', 'wake']
Harry;You've got to help me, Tom.;['you', 'got', 'to', 'help', 'me', 'tom'];['you', 'got', 'to', 'help', 'me', 'tom'];['help', 'tom']
Harry;There's a basilisk.;['there', 'a', 'basilisk'];['there', 'a', 'basilisk'];['basilisk']
Tom Riddle;It won't come until it's called.;['it', 'wo', 'come', 'until', 'it', 'called'];['it', 'wo', 'come', 'until', 'it', 'called'];['wo', 'called']
Harry;Give me my wand, Tom.;['give', 'me', 'my', 'wand', 'tom'];['give', 'me', 'my', 'wand', 'tom'];['give', 'wand', 'tom']
Tom Riddle;You won't be needing it.;['you', 'wo', 'be', 'needing', 'it'];['you', 'wo', 'be', 'needing', 'it'];['wo', 'needing']
